timestamp,Please enter your uNID
12/20/21 15:05,u1349666
12/20/21 15:08,u0960178
12/20/21 15:28,u1107676
12/20/21 15:36,u1252970
12/20/21 15:41,u1321262
12/20/21 16:00,u1181628
12/20/21 16:00,u1225638
12/20/21 16:03,u1311515
12/20/21 16:04,u1258566
12/20/21 16:25,u1377998
12/20/21 16:28,u1167325
12/20/21 16:40,u0980420
12/20/21 16:52,u0955294
12/20/21 16:54,u1033387
12/20/21 16:57,u1208522
12/20/21 16:59,u0694788
12/20/21 16:59,u1150424
12/20/21 17:00,u1377551
12/20/21 17:00,u6004654
12/20/21 17:03,u1310578
12/20/21 17:09,u1224112
12/20/21 17:25,u1107676
12/20/21 18:00,u1149181
12/20/21 18:01,u1169279
12/20/21 18:01,u1386221
12/20/21 21:21,u1331478
12/20/21 21:23,u0989405
12/21/21 7:07,u1201293
12/21/21 7:25,u1258566
12/21/21 7:50,u0879848
12/21/21 7:52,u1304655
12/21/21 7:55,u1109053
12/21/21 7:57,u6004654
12/21/21 8:00,u1101082
12/21/21 8:00,u1101082
12/21/21 8:03,u1106210
12/21/21 8:03,u1377998
12/21/21 8:05,u1149181
12/21/21 8:22,u1167325
12/21/21 8:31,u1325280
12/21/21 8:31,u1349666
12/21/21 8:36,u1377551
12/21/21 8:55,u1014558
12/21/21 8:58,u0960178
12/21/21 8:59,u1386221
12/21/21 9:00,u1112618
12/21/21 9:01,u1169279
12/21/21 9:01,u0822319
12/21/21 9:03,u1262494
12/21/21 9:10,u1224112
12/21/21 9:15,u1310578
12/21/21 9:21,u0657601
12/21/21 9:48,u0694788
12/21/21 9:58,u1107676
12/21/21 10:00,u1157521
12/21/21 10:04,u1163383
12/21/21 10:39,u1262494
12/21/21 10:59,u1225638
12/21/21 11:24,u1262494
12/21/21 11:59,u0980420
12/21/21 12:11,u0955294
12/21/21 12:21,u1325280
12/21/21 12:29,u1304655
12/21/21 12:43,u1033387
12/21/21 12:51,u1252970
12/21/21 12:58,u1157521
12/21/21 13:00,u1106210
12/21/21 13:00,u1109053
12/21/21 13:01,u1386221
12/21/21 13:05,u1107676
12/21/21 13:16,u1048876
12/21/21 13:26,u0822319
12/21/21 13:29,u1262494
12/21/21 13:29,u1328428
12/21/21 13:40,u1224112
12/21/21 13:41,u1107676
12/21/21 13:57,u1386221
12/21/21 13:58,u1181628
12/21/21 14:00,u1014558
12/21/21 14:03,u1349666
12/21/21 14:06,u1201293
12/21/21 14:22,u0960178
12/21/21 14:55,u1321262
12/21/21 15:00,u1169279
12/21/21 15:03,u0657601
12/21/21 15:04,u1163383
12/21/21 15:09,u1112618
12/21/21 15:53,u1258566
12/21/21 16:00,u1225638
12/21/21 16:03,u1331478
12/21/21 16:04,u1331478
12/21/21 16:11,u1101082
12/21/21 16:26,u0980420
12/21/21 16:46,u1377998
12/21/21 16:49,u1167325
12/21/21 16:57,u0694788
12/21/21 16:58,u0989405
12/21/21 17:00,u1181628
12/21/21 17:06,u1377551
12/21/21 17:07,u0955294
12/21/21 17:08,u1252970
12/21/21 17:13,u1048876
12/21/21 17:20,u1310578
12/21/21 17:29,u1033387
12/21/21 17:43,u1107676
12/21/21 17:46,u0879848
12/21/21 18:00,u1386221
12/21/21 18:00,u1149181
12/21/21 18:03,u1068655
12/21/21 19:47,u1321262
12/22/21 6:55,u1181628
12/22/21 7:02,u1201293
12/22/21 7:28,u1258566
12/22/21 7:46,u1377998
12/22/21 7:52,u1048876
12/22/21 7:58,u1208522
12/22/21 7:59,u6004654
12/22/21 8:00,u1101082
12/22/21 8:01,u1349666
12/22/21 8:02,u1107937
12/22/21 8:02,u1106210
12/22/21 8:03,u0628352
12/22/21 8:05,u1117393
12/22/21 8:08,u1212744
12/22/21 8:12,u0657601
12/22/21 8:19,u1167325
12/22/21 8:23,u1163383
12/22/21 8:27,u1304655
